"net_load","tempc","Time","DST","year","WtdTemp"
1489,15.2,0.0208333333333333,0.979166666666667,0.216495433789954,17.8759777045873
1458,14.9,0.0416666666666667,0,0.216552511415525,18.215
1366,15.2,0.0625,0.0208333333333333,0.216609589041096,18.4604650318516
1310,15.5,0.0833333333333333,0.0416666666666667,0.216666666666667,18.6833113168464
1264,14.75,0.104166666666667,0.0625,0.216723744292237,18.6000115585029
1242,14,0.125,0.0833333333333333,0.216780821917808,18.5363961030679
1203,14.45,0.145833333333333,0.104166666666667,0.216837899543379,18.7496984522419
1187,14.9,0.166666666666667,0.125,0.21689497716895,18.9217678423711
1175,14.65,0.1875,0.145833333333333,0.216952054794521,18.9145801875236
1160,14.4,0.208333333333333,0.166666666666667,0.217009132420091,18.88
1156,14.3,0.229166666666667,0.1875,0.217066210045662,18.7902555357206
1190,14.2,0.25,0.208333333333333,0.217123287671233,18.5630746418437
1230,14.25,0.270833333333333,0.229166666666667,0.217180365296804,18.2574413001704
1302,14.3,0.291666666666667,0.25,0.217237442922374,17.8753492169843
1352,15.15,0.3125,0.270833333333333,0.217294520547945,17.8175
1391,16,0.333333333333333,0.291666666666667,0.217351598173516,17.8909830056251
1381,16,0.354166666666667,0.3125,0.217408675799087,17.6122147477075
1322,16,0.375,0.333333333333333,0.217465753424658,17.3909830056251
1248,16.7,0.395833333333333,0.354166666666667,0.217522831050228,17.7303783740565
1165,17.4,0.416666666666667,0.375,0.217579908675799,18.18
1136,17.3,0.4375,0.395833333333333,0.21763698630137,18.1495405845398
1133,17.2,0.458333333333333,0.416666666666667,0.217694063926941,18.18
1090,17.75,0.479166666666667,0.4375,0.217751141552511,18.6170495128835
1062,18.3,0.5,0.458333333333333,0.217808219178082,18.98
1036,18.15,0.520833333333333,0.479166666666667,0.217865296803653,18.89
971,18,0.541666666666667,0.5,0.217922374429224,18.8
955,17.9,0.5625,0.520833333333333,0.217979452054795,18.74
982,17.8,0.583333333333333,0.541666666666667,0.218036529680365,18.68
1020,17.9,0.604166666666667,0.5625,0.218093607305936,18.74
1006,18,0.625,0.583333333333333,0.218150684931507,18.8
986,17.7,0.645833333333333,0.604166666666667,0.218207762557078,18.62
1013,17.4,0.666666666666667,0.625,0.218264840182648,18.44
1119,16.8,0.6875,0.645833333333333,0.218321917808219,18.08
1253,16.2,0.708333333333333,0.666666666666667,0.21837899543379,17.72
1425,16,0.729166666666667,0.6875,0.218436073059361,17.6
1496,15.8,0.75,0.708333333333333,0.218493150684931,17.2339696961967
1605,15.55,0.770833333333333,0.729166666666667,0.218550228310502,16.44
1683,15.3,0.791666666666667,0.75,0.218607305936073,15.5753196256846
1656,15.2,0.8125,0.770833333333333,0.218664383561644,15.2
1623,15.1,0.833333333333333,0.791666666666667,0.218721461187215,15.1324187076092
1607,15.05,0.854166666666667,0.8125,0.218778538812785,15.1803313573954
1580,15,0.875,0.833333333333333,0.218835616438356,15.2936960150978
1536,14.8,0.895833333333333,0.854166666666667,0.218892694063927,15.3365630590306
1491,14.6,0.916666666666667,0.875,0.218949771689498,15.4573189940166
1449,14.05,0.9375,0.895833333333333,0.219006849315069,15.3848261114666
1413,13.5,0.958333333333333,0.916666666666667,0.219063926940639,15.4407925462501
1382,13.6,0.979166666666667,0.9375,0.21912100456621,16.0318735459122
1533,13.7,0,0.958333333333333,0.219178082191781,16.6413051797343
1521,13.8,0.0208333333333333,0.979166666666667,0.219235159817352,17.2564712017587
1416,10.3,0.0416666666666667,0,0.224771689497717,16.605
1347,9.55,0.0625,0.0208333333333333,0.224828767123288,16.6483040797603
1297,8.8,0.0833333333333333,0.0416666666666667,0.224885844748858,16.7229081663734
1254,8.9,0.104166666666667,0.0625,0.224942922374429,17.0400244379776
1219,9,0.125,0.0833333333333333,0.225,17.3167261889578
1196,8.35,0.145833333333333,0.104166666666667,0.225057077625571,17.3754931474987
1167,7.7,0.166666666666667,0.125,0.225114155251142,17.3995577374833
1159,8,0.1875,0.145833333333333,0.225171232876712,17.5654135047258
1170,8.3,0.208333333333333,0.166666666666667,0.225228310502283,17.66
1171,8.5,0.229166666666667,0.1875,0.225285388127854,17.5592874843486
1181,8.7,0.25,0.208333333333333,0.225342465753425,17.2004730091092
1178,9.1,0.270833333333333,0.229166666666667,0.225399543378995,16.696714812497
1186,9.5,0.291666666666667,0.25,0.225456621004566,16.0861696102342
1186,12.35,0.3125,0.270833333333333,0.225513698630137,16.5575
1178,15.2,0.333333333333333,0.291666666666667,0.225570776255708,17.4691796067501
1131,16.1,0.354166666666667,0.3125,0.225627853881279,17.6719093790148
1036,17,0.375,0.333333333333333,0.225684931506849,18.0432372542188
938,17.5,0.395833333333333,0.354166666666667,0.22574200913242,18.2805896773155
837,18,0.416666666666667,0.375,0.225799086757991,18.6
744,18.15,0.4375,0.395833333333333,0.225856164383562,18.7320926227402
680,18.3,0.458333333333333,0.416666666666667,0.225913242009132,18.895
634,18.25,0.479166666666667,0.4375,0.225970319634703,18.9243718433538
596,18.2,0.5,0.458333333333333,0.226027397260274,18.92
554,17.95,0.520833333333333,0.479166666666667,0.226084474885845,18.77
533,17.7,0.541666666666667,0.5,0.226141552511416,18.62
523,18.3,0.5625,0.520833333333333,0.226198630136986,18.98
531,18.9,0.583333333333333,0.541666666666667,0.226255707762557,19.34
564,18.45,0.604166666666667,0.5625,0.226312785388128,19.07
610,18,0.625,0.583333333333333,0.226369863013699,18.8
696,18.1,0.645833333333333,0.604166666666667,0.226426940639269,18.86
789,18.2,0.666666666666667,0.625,0.22648401826484,18.92
914,17.5,0.6875,0.645833333333333,0.226541095890411,18.5
1067,16.8,0.708333333333333,0.666666666666667,0.226598173515982,18.08
1236,16.5,0.729166666666667,0.6875,0.226655251141553,17.9
1405,16.2,0.75,0.708333333333333,0.226712328767123,17.4974011537018
1535,15.75,0.770833333333333,0.729166666666667,0.226769406392694,16.6
1589,15.3,0.791666666666667,0.75,0.226826484018265,15.5753196256846
1565,14.3,0.8125,0.770833333333333,0.226883561643836,14.3
1533,13.3,0.833333333333333,0.791666666666667,0.226940639269406,13.3443276206085
1512,13.15,0.854166666666667,0.8125,0.226997716894977,13.3303575349815
1492,13,0.875,0.833333333333333,0.227054794520548,13.4111744211369
1456,12.5,0.895833333333333,0.854166666666667,0.227111872146119,13.273889027448
1422,12,0.916666666666667,0.875,0.227168949771689,13.2701022133579
1375,11.65,0.9375,0.895833333333333,0.22722602739726,13.523243366512
1333,11.3,0.958333333333333,0.916666666666667,0.227283105022831,13.8976761772886
1294,11.15,0.979166666666667,0.9375,0.227340182648402,14.5128251377066
1442,11,0,0.958333333333333,0.227397260273973,15.2018645424776
